aid,uid,label,advertiserId,campaignId,creativeId,creativeSize,adCategoryId,productId,productType,age,gender,marriageStatus,education,consumptionAbility,LBS,interest1,interest2,interest3,interest4,interest5,kw1,kw2,kw3,topic1,topic2,topic3,appIdInstall,appIdAction,ct,os,carrier,house
1502,67460138,0,9056,13766,988736,79,21,0,4,5,1.0,13 10,6,1,143.0,93 70 77 109 12 75 4 29 49 6 42 46 115 88 36 34 82 11 76 119 18 114 60 71 23,52 21,,,100 72 80 116 47 4 71 12 50 41 132 42 5 46 24 22 103 114 21,594891 732675 608683 532453 319757,20656 75218 61054 56819 41409,,2351 4139 4535 1094 5921,4326 2225 654 8515 2515,,,,1 3 2,1 2,1,
1747,2107163,0,23805,110892,1515786,59,149,14314,11,4,2.0,13 15,7,1,346.0,70 76 75 28 29 59 49 36 11,51 73 70 18,,,72 113 27 40,722321 381457 306906 64588 123402,17982 39525 25158 11249 26624,,7914 9852 9343 3162 834,5641 6311 5508 7957 1458,,,,3 1,2,1,
453,24008511,0,3910,153917,398538,35,117,2093,9,2,1.0,10,1,1,687.0,,22 70 54 10,,,52 31 109 8 120 83,,118026 116180 77529 15941 106194,,,8029 6939 7217 8594 1535,,,,4 3,1,1,
119,52936401,0,2775,3372,226211,22,21,0,4,1,2.0,13 10,7,1,273.0,70 76 48 73 87,47 9 32 33 76 55,,,52 72 131 116 13 79 71 109 8 61 50 6 76 27 121 59 14 38 90 120 93,8561,10358 119723 38236 66915 90838,,1812 6989 6940 967 1021,242 5066 1010 2970 7772,,,,3,1,1,
2091,48910233,0,11699,164865,222873,79,21,0,4,5,1.0,0,7,0,737.0,93 70 77 49 41 6 46 23 17 56 116 36 11,,,,52 100 80 131 8 42 46 64,10251 204707 589299 362620 446696,18185 108345 64465 37224 110841,,5590 1522 5338 1645 5669,5991 9441 4737 5592 336,,,,0,0,1,
128,18858420,0,49707,117354,150531,22,117,34450,9,5,1.0,11,7,2,415.0,93 70 77 86 37 109 98 47 75 4 69 29 49 83 6 2 46 36 11 107 76 59 119 114 60 71 57 24 103 116,47 24 9 69 52 46 32 70 21 33 19 4 13 30 41 37 72 54 10,,,100 72 80 92 37 116 4 71 8 28 115 6 76 20 46 38 21 52 131 79 132 62 74 59 129 96,151429 497092 529100 599910 283399,105115 12156 48866 20489 327,,7684 9826 523 6939 297,2485 1929 741 685 344,,,,3 1 2,1 2,2,
1058,30262391,0,21017,548645,1425020,91,179,0,4,5,2.0,10,7,1,72.0,93 70 86 118 109 47 76 28 8 16 59 67 49 83 73 39 95 46 9 36 11 90 87,73 1 46 70 4 74 48 37,,,100 72 92 116 13 47 8 50 86 115 6 76 27 75 9 46 40 52 31 131 69 132 19 5 89 121 59 10 130 93,388969 497092 385071 472789 721717,74061 44005 105115 8546 36764,,323 2441 6515 5230 8525,6311 5641 3394 3376 5631,,,,3 2 1,1,3,1.0
2190,68073737,0,7565,307302,476343,91,94,0,4,2,1.0,13 10,7,1,94.0,70 47 69 48 28 59 49 9 36 11 54,73 42 79 9 1 46 70 6 4 41 37 29 10 35,,,52 31 131 101 47 71 109 8 6 62 10 56 65,339063 150800 275804 119362 467961,11395 89419 43134 93952 46843,,1810 2109 7993 2292 740,1352 5236 982 7970 8636,,,,1 4,1,1,
216,43015414,0,6946,296367,554224,59,24,3794,11,3,1.0,0,2,0,425.0,93 70 77 37 101 76 4 48 6 46 71 36 11,58 24 9 21 30,,,,391535 208810 8561 696607 59727,36750 80263 8572 102474 19842,,9826 4149 9090 7684 4816,9751 5005 9154 6247 2756,,,,3 1,2 1,0,
2117,27175858,1,5758,50037,423998,100,21,0,4,5,1.0,11,7,1,161.0,93 70 77 37 98 75 4 69 8 29 49 6 73 46 56 36 11 54 118 100 122 18 95 71 23 57 17 116 3 87,,,,,338851 730501 773027 731217 741530,52864 106259 461 12933 5359,,1950 9949 644 4367 381,2955 6442 2979 1877 3944,,,,3 1,1,0,
863,23997178,0,370,371854,1200159,35,67,113,9,3,2.0,11,7,1,275.0,70 77 118 76 4 69 28 8 106 59 49 64 42 46 17 56 62 36 11 54 38,63 24 79 31 46 6 21 4 30 41 48 17 44 14,,,,520559 497092 460131 642206 162804,28206 37224 51106 97793 44567,,6661 5085 164 9304 9889,2880 8165 4995 4396 674,,,,1 3,1,0,
1232,40722661,0,7300,91140,1546436,79,21,0,4,5,2.0,13 10,7,0,514.0,,,,,,,77930 88919 37224 101620 75260,,,6978 3598 4002 1853 3559,,,,0,0,0,
1461,63631416,1,2775,3372,777424,22,21,0,4,1,2.0,10,3,1,792.0,70 76 36 11,73 9 1 70 4 48,,,52 72 131 79 8 50 6 42 76 27 89 59 60 129 68 40 93,47358 191969,104181 119723 38236 36764 93916,,6572 3603 164 6520 4543,5835 6420 8956 523 969,,,,3 1,1,1,
1561,72382217,0,79,2295,1220342,59,10,38,11,4,1.0,11,6,1,658.0,70 109 75 4 33 28 29 49 6 119 42 46 60 22 113 35 36 11,73 74,,,52 92 131 116 53 13 4 109 8 32 30 115 6 132 42 9 46 74 64 15,260271 175266 552250 261839 477013,115669 37224 60827 14498 84408,,9826 5400 201 145 2365,2987 5316 5685 1886 9089,,,,1 3 4,2,1,
601,67857421,1,42358,95714,541640,42,10,28289,11,3,2.0,13,6,2,434.0,93 70 77 86 37 109 75 4 8 29 49 83 6 73 26 46 56 36 11 40 30 118 100 76 28 59 119 114 71 17 3 87,24 30,6,,104 100 72 80 37 4 78 109 8 30 6 42 76 46 64 119 52 131 79 29 59 129 130 120 93,337608 247072 338851 527758 542834,87384 82720 81211 30101 90300,46185 5075 11911 17696 12595,6939 9826 2905 644 8586,5169 235 6810 8318 738,6972 9005 307 5119 1084,36602 58279 11927 38978 19021 36830,,3 1,1,3,
1039,21917911,1,7565,103691,1416059,91,94,0,4,1,2.0,10,6,1,152.0,70 76 75 29 59 49 36 11,24 73 1 70 19 13 30,,,72 33 92 63 116 13 1 71 109 8 32 50 28 98 6 42 99 76 27 75 9 20 64 21 40 52 31 131 107 79 29 69 87 19 89 121 59 129 51 120 93 83,547462 731496 96358 93389 398695,26491 86898 32918 74010 53423,,3648 6307 2011 9495 8437,2419 266 3036 9054 3035,,,,3 1,2,1,
1955,39458364,0,4179,68595,507631,22,27,113,9,1,2.0,11,7,1,772.0,93 70 86 109 47 75 69 8 29 49 108 6 42 26 46 56 36 11 54 96 25 51 76 28 59 122 119 18 71 113 23 17 9 116,79 6,,,100 92 116 13 78 71 109 8 30 28 115 6 42 76 55 9 75 46 64 91 52 131 121 59 129 130 51 83,154877 527831 589351 611666 64088,87249 117462 44365 6472 119740,,4080 6296 9826 2125 9700,3083 2705 4487 3335 1125,,,,3 1,2,1,1.0
590,77719125,0,17597,51385,989148,35,1,0,6,3,2.0,11,3,2,742.0,93 70 77 86 37 12 98 4 75 69 8 29 27 108 6 42 73 53 46 35 36 34 11 20 30 118 76 48 67 22 3,24 79 46 6 30 29,,,,338851 419575 162804 644449 704547,87384 81211 28206 83748 92902,,9826 7013 6762 5506 230,1725 5261 9696 7680 1876,,,,3 1,1,0,
1713,81224428,0,5758,45115,1190488,100,21,0,4,4,1.0,11,7,0,585.0,93 70 47 76 106 49 41 15 122 18 73 46 9 36 11 3,63 52 46 21 33 4 30 41 37 14 29,6 8 10 4 9 1 7 3 5 2,6 4 10 9 5,77 127 52 100 92 131 37 109 8 50 6 42 19 76 75 46 59 64 129 96 93,250988 444944 691885 56497 365269,74667 28206 26984 14542 82720,36983 5234 9888 45477 22819,2616 357 7113 8460 4423,4014 2598 4431 3600 7996,5015 4845 43 6080 9399,40091 6365 35640 6071 42378 51567 4232 15890 10378 27959 51533 28537 39203 33766 45207 12226 35890 35138 25753 37401 50700 10876 8355 21699 49662 28622 44219 6632 38995 58274 47918 29441 11297 22932 3126 39249 7549 41827 47407 14858 5596 36523 37955 9824 47375 15581 63809 48910 31814 13158 54117 26049 4447 12942 35044 45857 18902 36660 34634 22636 40181 31584 44034 26635 12417 52682 23285 60114 47757 28894 12634 47366 56302 42123 61797 41664 31264 40299 61002 56471 61305 59311 16811 44711 38005 7997 14708 60760 45186 11245 62076 50000 64007 16073 47338 8280 40781 43862 39714 50526 7770 44200 18935 35940 20338 53683 10969 25453 51225 2649 10993 45804 7158 50496 936 47059 49587 57055 3837 17416 53413 23628 45377 16307 16267 2989 39291 63949 25852 10734 649 58428 47732 7654 61498 34006 587 22373 21808 25825 7278 18425 36501 11798 49653 60283 18837 6975 21890 42747 40626 22969 17026 55294 30067 36830 54858 4638 14237 48849 23968 59786 56304 7942 35347 54840 64386 47826 3976 37145 31684 4029 55760 42510 31774 15700 63170 54480 31159 2560 9540 14696 55156 10751 17592 57849 43735 22446 44160 51634 8611 52854 9611 36274 56291 19246 10682 38642 3735 23208 17003 9150 30440 52156 38916 36872 43880 47709 2657 23330 49913 30215 11902 31895 436 47817 11927 21970 46733 56199 62767 5411 8700 62350 33851 4472 265 9174 39799 24631 45738 49142 62128 28251 38313 59014 36667 37985 23503 34189 13876 46090 33276 34145 1477 3044 53171 56616 4890 7010 1283 23313 30373 62865 56481 34417 29057 12757 18318 38795 28747 24830 42554 20605 40024 34241 14979 57061 28248 50704 46320 44323 6358 2789 27345 4252 58589 48061 32927 41607 25647 14836 10478 40153 64678 4037 39975 29798 36544 7350 59228 51354 49730 5404 21873 48664 55920 14449 13476 24533 6243 29557 48385 62506 17022 23309 34311 53072 49665 43973 34301 21029 22265 15192 23277 48825 19777 50416 62630 35725 50142 25036 26 17238 59290 44051 58017 18036 17169 56500 41194 28154 5209 50585 55984 33946 43148 8899 30936 60950 30706 45798 31327 50256 37518 32923 23655 26904 41034 14761 54038 7314 43468 240 16321 33716 30779 43140 58031 63090 46688 40544 23947 23455 6026 26850 53624 59658 13844 27940 45717 11270 47113 50254 6044 43355 8552 4887 8681 21815 40582 47169 37280 63143 39514 23538 49652 45338 29875 47913 36734 53022 60802 48560 56839 12035 17196 9926 51131 25691 54650 18731 34691 31090 29935 49256,4511 2391 3080 2239 4830 69 3749 2248 2053 2848 1714 3269 3301 1066 4973 1387 562 3065 6141 872 1575 1654 2983,1 3,1,1,1.0
2028,81849963,0,44008,236972,344531,79,21,0,4,4,1.0,0,1,0,114.0,,,,,,,,,,,,,,0,0,0,
274,6198174,0,6946,10039,321717,53,24,3794,11,3,1.0,0,3,2,246.0,93 70 76 6 46 22 36 11,,,,,345784 279516 496313 10251 171741,53539 71710 113446 21447 75000,,9826 1297 9781 537 4305,8430 4661 2660 1450 8867,,,,3,1 2,0,
1887,3676637,0,2775,3372,140566,22,21,0,4,4,2.0,15,6,2,333.0,70 109 28 106 59 49 41 6 119 42 60 22 17 56 116 36 11 96,73 74,,,72 92 116 78 128 34 8 30 50 6 42 43 76 64 52 31 131 11 79 113 61 132 121 23 59 24 129 93,658772 662017 368734 679950 751954,120667 120552 8646 25354 85195,,9826 9497 9617 8165 7660,4739 5791 6457 8402 9917,,,,1 3,1,0,
1690,21861537,1,53728,129847,1758060,100,21,0,4,5,1.0,10,7,2,458.0,70 47 76 28 6 9 116 36 11,,,,116 6 121 59,172567 327887 691640 76448 736006,73507 117548 52156 74956 46123,,512 4837 5916 9265 9984,8963 6549 2736 3921 5108,,,,1 3,2,3,
1737,19156107,0,3993,63752,75954,42,274,19256,11,4,1.0,15,7,1,846.0,93 59 49 122 18 46 36 11,24 73 9 30,,,100 37 6 76 46 59 129 93,398226 216807 302186 588813 371291,5262 61963 55971 76148 32918,,3177 9470 1932 4264 2036,4399 2855 2714 6116 3258,,,,3 2 4 1,2,1,1.0
1022,25589496,0,44008,366845,1313917,79,21,0,4,1,1.0,10,7,1,48.0,93 118 47 8 59 49 15 122 6 18 73 46 113 57 9 116 36 11 90,24 30,,,52 100 37 8 50 46 60,342755 687479 204103 279 16417,68734 29946 58596 64865 73048,,9296 9826 1275 1446 3837,9707 7613 9103 9990 623,,,,3 1,1,1,
2005,18943783,0,8203,37818,1121506,95,142,0,6,5,1.0,11,7,1,48.0,93 70 75 76 69 48 29 49 122 6 18 46 60 17 56 116 36 11 38,63 47 32 30,,,127 100 131 13 8 6 42 46 74 59 14 64 103,179343 256354 710596 691885 93794,74667 110775 51872 92596 75002,,8525 8732 2889 9700 3929,3104 4699 6249 6611 1966,,,,1 3,1,1,
1886,57428545,0,2874,49091,1783748,53,40,0,4,4,2.0,11,7,2,769.0,93 70 30 37 47 76 75 28 8 29 59 49 15 27 53 46 9 36 11,46 70 54 29,,,100 72 92 131 37 116 11 128 8 61 50 66 6 76 46 121 59 130 93,589706 53354 680430 268355 412304,846 11395 79112 23107 89883,,9786 9264 1812 7308 6661,4557 9283 9707 8049 3586,,,,3 4 1,1,3,
235,12297660,0,702,15634,1517041,35,24,5615,11,4,2.0,11,7,1,750.0,93 70 75 76 28 29 59 49 15 64 42 46 35 36 11,79 46 6 37,,,100 72 92 131 116 11 48 29 8 113 61 50 66 6 42 76 75 46 121 59 60 103 93,114811 208810 762944 145153 394305,61749 37224 120641 43585 305,,7134 1601 2196 4710 8460,9281 5658 6769 4906 6398,,,,1 3,1,1,
714,61366725,0,7630,705398,1492398,22,67,113,9,2,2.0,10,6,1,658.0,70 109 47 28 59 49 6 5 73 57 58 17 9 56 116 36 11 117 87,31 70 44,,,100 72 33 116 13 47 78 71 109 8 30 50 6 76 9 46 58 38 21 131 11 48 29 124 113 61 73 66 132 89 121 59 118 60 10 18 129 81 120 93,688627 64588 433432 562294 144382,77778 11538 101747 77930 4253,,8052 7445 7959 5293 3417,2485 8922 5189 2989 343,,,,3 1 2,1,3,1.0
2086,70954589,0,149,152,566978,35,10,70,11,5,2.0,13 9,6,1,29.0,70 12 47 76 69 28 6 60 115 71 9 116 36 11 20,,,,72 37 116 13 47 8 6 42 27 9 46 14 64 90 40 52 131 79 132 89 62 121 74 59 25 10 129,299800 118076 727934 530883 557622,102474 95597 27844 56438 34307,,9826 8088 2942 8418 4388,8577 1844 8867 8802 9708,,,,3,1 2,1,1.0
1856,75972308,0,370,363271,588813,22,67,113,9,2,2.0,10,6,1,759.0,70 86 118 47 76 8 2 9 36 11,73 79 1 70 6 28 43,,,72 92 116 109 128 34 8 30 50 6 42 76 36 64 85 52 131 79 29 69 132 89 121 123 59 60 129 120 93,6217 8561 100680 505188 196150,120667 120552 8546 56438 81716,,9826 5703 4818 2077 9359,7003 2776 780 7136 2354,,,,3 1,2,1,
30,14138131,0,702,70152,1312770,42,10,2792,11,4,1.0,11,1,1,734.0,93 37 4 75 29 46 36 11,58,,,100 131 37 82 4 8 46,71540 497092 461097 691069 68812,461 52864 12933 85930 76335,,8916 8778 4837 5965 7986,4671 1066 2979 3854 6002,,,,2 1 3,1,1,
1364,73798663,0,117647,382695,1709747,22,74,0,4,4,1.0,11,7,1,94.0,93 70 77 37 109 47 49 6 42 73 46 35 56 36 11 76 48 28 106 67 59 119 18 91 60 113 17 9 50,24 73 6 21 30 74,,,100 72 80 131 37 48 8 113 50 46 88 123,291635 497092 542330 264983 529100,105115 88936 57636 57049 87688,,3538 9826 8525 6939 2123,7407 2097 5416 1160 9755,,,,3 1 4 2,1,2,
1502,17552419,0,9056,13766,988736,79,21,0,4,4,2.0,11,7,1,210.0,70 4 76 28 106 67 46 17 56 36 11,79 24 9 70 6 30 54,,,127 52 92 131 37 78 1 4 71 109 128 8 30 6 42 46 59 64 38 120,179343 436479 64588 194312 572913,73295 11395 87384 79112 81211,,3312 407 3851 4080 5703,597 5047 8187 381 4737,,,,3 1 2,1 2,1,
1114,35311489,0,104071,318391,1680747,100,21,0,4,4,2.0,11,5,1,812.0,93 70 77 109 98 47 8 29 49 6 42 73 46 56 62 36 11 30 76 48 28 106 59 67 41 111 71 17 9 50,31 44,,,100 72 80 92 101 109 12 8 50 28 6 76 75 20 46 52 131 48 113 69 41 19 59 129 51,616834 657406 562294 4227 191335,32918 74010 105942 34334 53423,,1919 9826 7993 8004 3625,1104 895 4323 5884 336,,,,3 4 1,2 1,1,
667,57845894,0,17597,51385,1483466,35,67,0,6,2,2.0,13 10,2,1,943.0,93 70 86 109 75 28 31 29 59 49 83 6 2 119 46 111 22 116 36 11,66 58 22 1 70 19 13 49 54 10,,,77 100 92 37 101 47 78 1 71 109 128 8 30 50 86 115 6 2 42 43 76 75 46 58 64 133 21 52 131 23 59 60 10 18 130 120 93 83,517534 255030 786235 115103 2268,52864 461 12933 90034 100473,,8052 9205 3417 9826 2325,7809 9047 7555 7908 3855,,,,3 1,1 2,1,
1393,47189125,0,2775,3372,182758,22,59,0,4,1,2.0,0,2,0,317.0,,,,,52 131 47 8 27 10 40,,82339 19385 116065 76242 79676,,,163 4431 959 8544 5950,,,,3,1,1,
1092,25550735,0,370,381949,929996,35,67,113,9,5,1.0,10,2,2,812.0,,24 30,,,52 131 8 42 76 64 130,,94407 8125 87169 26311 41565,,,5468 820 3540 4816 6904,,,,0,0,3,
1081,66343,0,10122,61376,1594057,42,10,3733,11,5,2.0,0,0,0,683.0,,,,,,,,,,,,,,0,0,0,
548,38427940,0,915,31020,1473028,22,51,0,4,5,1.0,10,6,1,112.0,93 46 36 11,,,,104 100 33 116 1 109 50 6 19 5 46 121 59,743380 698876 163439 460368 697129,23915 16779 120667 43585 8546,,375 9980 5145 1863 8733,523 2082 9953 4487 3545,,,,1 3,1,1,1.0
2091,30634630,0,11699,164865,222873,79,21,0,4,1,1.0,10,6,1,124.0,,63 30,,,,,52864 461 12933 106032 117462,,,7330 2965 9283 690 5814,,,,3 1,2,0,
1627,12880740,0,25485,50138,1143008,42,51,15454,11,4,1.0,11,2,2,424.0,93 30 77 118 109 4 75 33 8 29 6 39 46 116 36 11,24 73 4 30 74 48,,,,210767 538596 691885 26682 89975,11395 55053 28206 112877 82106,,6254 9826 523 506 6939,9708 2372 1160 7008 2685,,,,1 2 3,1,0,
1857,42446291,0,18630,33813,783308,53,4,0,4,3,1.0,11,1,1,857.0,93 70 77 86 37 109 75 1 4 102 8 29 49 27 6 42 92 72 46 35 56 36 11 118 76 39 95 71 17,63 47 22 9 32 70 6 21 4 30 48,,,,676152 418031 92615 338851 605930,28206 67674 62764 11395 52864,,6661 6352 9790 1338 8048,2565 8240 789 9414 3629,,,,3,1,0,
1240,3553510,0,24704,48236,1407924,35,27,113,9,1,2.0,13 10,1,1,32.0,70 86 109 47 76 28 106 59 49 6 2 5 18 68 9 17 56 116 36 11,70 4 15 54,,,72 92 116 78 71 109 128 8 32 30 50 86 28 6 99 76 75 20 58 56 38 114 52 31 131 11 79 29 113 41 73 66 132 89 102 121 23 59 60 18 130 120 93,451173 47358 627002 296283 8561,56438 95597 846 17355 7014,,2003 9826 9377 5788 8399,2422 5169 3051 2920 3188,,,,3 1,1 2,1,
1737,77840608,1,3993,63752,75954,42,274,19256,11,1,1.0,10,2,1,142.0,,24 73 30,,,,,81476 95148 22479 117462 5827,,,4302 3104 2842 5216 8044,,,,0,0,0,
